  R12247380 | Doppler | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/natal/ppi/ppivr
  R12242176 | DVIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/natal/agua_liquida/dvil
  R12244492 | Echotop 20 dBz | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/cemaden/natal/echotop/echotop20dbz
  R12244493 | Echotop 35dBz | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/natal/echotop/echotop35dbz
  R12247379 | PPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/cemaden/natal/ppi/ppicz
  R12242177 | VIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/natal/agua_liquida/vil
  R12244491 | Waldvogel | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/natal/echotop/waldvogel

### Radar 7011 - Quixeramobim
  R13967011 | CAPPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/funceme/quixeramobim/cappi/cappi3km
  R13967006 | Chuva 24hrs | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/funceme/quixeramobim/chuva/chuva24h
  R13967018 | Doppler | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/funceme/quixeramobim/ppi/ppivr
  R13967013 | DVIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/funceme/quixeramobim/agua_liquida/dvil
  R13967015 | Echotop 20 dBz | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/funceme/quixeramobim/echotop/echotop20dbz
  R13967014 | Echotop 35dBz | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/funceme/quixeramobim/echotop/echotop35dbz
  R13967017 | PPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/funceme/quixeramobim/ppi/ppicz
  R13967012 | VIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/funceme/quixeramobim/agua_liquida/vil
  R13967016 | Waldvogel | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/funceme/quixeramobim/echotop/waldvogel

### Radar 8346 - Salvador
  R12468346 | CAPPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/cemaden/salvador/cappi/cappi3km
